horse_id,父,母,母父
2022100360,スワーヴリチャード,ブラックカシミール,バブルガムフェロー
2021104850,ディーマジェスティ,グリサージュ,クロフネ
2021104822,ラニ,リボルトレイダー,ワイルドラッシュWild Rush(米)
2022101255,ドレフォンDrefong(米),グロリアスブレイク,Distorted Humor(米)
2022101438,ブリックスアンドモルタルBricks and Mortar(米),ハッピーグラス,ディープインパクト
2022101814,モーニン,ナムラアピア,クロフネ
2022100557,ウインブライト,ブーケドロゼブルー,ロージズインメイRoses in May(米)
2022101481,マインドユアビスケッツMind Your Biscuits(米),オースミハナチャン,ハーツクライ
2021106128,デクラレーションオブウォー,ヒシラガーディア,マンハッタンカフェ
2020103118,ハーツクライ,レディオブフィフティLady of Fifty(米),After Market
2021101580,グレーターロンドン,メイショウサリー,ヨハネスブルグJohannesburg(米)
2022101906,イスラボニータ,キョウエイレガシー,ハービンジャーHarbinger(英)
2022104771,Kingman(英),コスモポリタンクイーンCosmopolitan Queen(英),Dubawi
2022101469,アルアイン,ロンドンシーズン,ロードカナロア
2022104197,ロジャーバローズ,オールフラッグズフライングAll Flags Flying(米),War Front
2021101595,サトノクラウン,セトノフラッパー,タイキシャトル
2020106987,ディスクリートキャットDiscreet Cat(米),ローブドヴルール,サウスヴィグラス
2022104734,キズナ,キラモサKirramosa(新),Alamosa
2022102939,リアルスティール,マチャプチャレ,ヨハネスブルグJohannesburg(米)
2021104074,ダイワメジャー,ラブディラン,Dylan Thomas(愛)
2020105073,アメリカンペイトリオット,ブラックシュガー,ブラックタイド
2018103485,トーセンラー,オーガンディー,フレンチデピュティFrench Deputy(米)
2021104416,カリフォルニアクロームCalifornia Chrome(米),ハナフブキ,ディープインパクト
2021106623,シニスターミニスターSinister Minister(米),キングベイビー,マンハッタンカフェ
2018104646,スクリーンヒーロー,ステラスターライト,ディープインパクト
2021105182,キンシャサノキセキ,Pirika(愛),Monsun
2021100170,ロードカナロア,ルアンジュ,マンハッタンカフェ
2020104738,アジアエクスプレス,アラピンタAlapinta(英),Medicean
2020100053,シニスターミニスターSinister Minister(米),エクディス,クロフネ
2022101389,マインドユアビスケッツMind Your Biscuits(米),アーキタイプ,ディープインパクト
2019101864,ハーツクライ,アーキオロジーArcheology(米),Seeking the Gold
2021106797,Good Magic,ディスポーザブルプレジャーDisposablepleasure(米),Giacomo
2020105494,エイシンヒカリ,ニシノオマージュ,ストリートセンスStreet Sense(米)
2022102987,ナダルNadal(米),トーコーユズキ,ディープインパクト
2021105356,ブラックタイド,アズールムーン,Malibu Moon
2019101614,キタサンブラック,クラリネットClarinet(米),Giant's Causeway(米)
2019101507,ドゥラメンテ,ラヴァリーノRavarino(米),Unbridled's Song(米)
2021104800,ブリックスアンドモルタルBricks and Mortar(米),リープオブフェイス,クロフネ
2021105623,キズナ,セルキスSelkis(独),Monsun
2018103677,キズナ,ヴェルヴェットクイーンVelvet Queen(英),Singspiel(愛)
